#           time             counts unit events
    13.937757261            112,719      cache-misses                                                
    13.987876906            116,341      cache-misses                                                
    14.037996292            115,058      cache-misses                                                
    14.088115603            116,126      cache-misses                                                
    14.138236995            119,621      cache-misses                                                
    14.188351774            102,905      cache-misses                                                
    14.238494554            109,580      cache-misses                                                
    14.288608439            183,864      cache-misses                                                
    14.338730055            116,887      cache-misses                                                
    14.388839509            116,936      cache-misses                                                
    14.438951486            116,131      cache-misses                                                
    14.489069615            117,379      cache-misses                                                
    14.539194645            127,475      cache-misses                                                
    14.589318044            121,962      cache-misses                                                
    14.639429798            121,498      cache-misses                                                
    14.689547293            116,009      cache-misses                                                
    14.739669702            113,920      cache-misses                                                
    14.789798031            116,757      cache-misses                                                
    14.839918312            115,483      cache-misses                                                
    14.890023184            110,273      cache-misses                                                
    14.940138760            125,318      cache-misses                                                
